"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/26/2026","Sell to Close","MARA 01/15/2027 20.00 C","CALL MARA HLDGS INC $20 EXP 01/15/27","5","$2.43","$3.36","$1211.64"
"05/26/2026","Sell to Close","MARA 09/18/2026 18.00 C","CALL MARA HLDGS INC $18 EXP 09/18/26","10","$1.60","$6.68","$1593.32"
"05/22/2026","Sell to Close","QCOM 01/15/2027 175.00 C","CALL QUALCOMM INC $175 EXP 01/15/27","1","$81.40","$0.83","$8139.17"
"05/22/2026","Sell to Close","RDW 01/15/2027 15.00 C","CALL REDWIRE CORP $15 EXP 01/15/27","1","$7.10","$0.67","$709.33"
"05/19/2026","Sell to Close","RDW 06/12/2026 11.00 C","CALL REDWIRE CORP $11 EXP 06/12/26","1","$3.20","$0.67","$319.33"
"05/19/2026","Buy","CBRS","CEREBRAS SYS INC CLASS A","1","$289.50","","-$289.50"
"05/18/2026","Buy to Open","PLTR 07/17/2026 160.00 C","CALL PALANTIR TECHNOLOGI$160 EXP 07/17/26","1","$2.95","$0.66","-$295.66"
"05/18/2026","Buy to Open","TSLA 07/17/2026 460.00 C","CALL TESLA INC $460 EXP 07/17/26","1","$14.33","$0.66","-$1433.66"
"05/18/2026 as of 05/15/2026","Expired","WWR 05/15/2026 4.00 C","CALL WESTWATER RES INC $4 EXP 05/15/26","-20","","",""
"05/18/2026 as of 05/15/2026","Expired","WWR 05/15/2026 3.00 C","CALL WESTWATER RES INC $3 EXP 05/15/26","-5","","",""
"05/18/2026 as of 05/15/2026","Expired","LULU 05/15/2026 300.00 C","CALL LULULEMON ATHLETICA$300 EXP 05/15/26","-1","","",""
"05/18/2026 as of 05/15/2026","Expired","LULU 05/15/2026 340.00 C","CALL LULULEMON ATHLETICA$340 EXP 05/15/26","-1","","",""
"05/18/2026 as of 05/15/2026","Expired","PLTR 05/15/2026 165.00 C","CALL PALANTIR TECHNOLOGI$165 EXP 05/15/26","-1","","",""
"05/18/2026 as of 05/15/2026","Expired","NVDA 05/15/2026 155.00 P","PUT NVIDIA CORP $155 EXP 05/15/26","-1","","",""
"05/13/2026","Sell","VELO","VELO3D INC","50","$21.19","$0.03","$1059.47"
"05/13/2026","Buy to Open","META 08/21/2026 800.00 C","CALL META PLATFORMS INC $800 EXP 08/21/26","1","$6.60","$0.66","-$660.66"
