"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/22/2023","12/22/2023","12/26/2023","SPY","Option Expiration for SPY 12/22/2023 Put $435.00","OEXP","1S","",""
"12/6/2023","12/6/2023","12/7/2023","SPY","Option Expiration for SPY 12/6/2023 Call $460.00","OEXP","1S","",""
"12/6/2023","12/6/2023","12/7/2023","SPY","Option Expiration for SPY 12/6/2023 Call $462.00","OEXP","3S","",""
"12/6/2023","12/6/2023","12/7/2023","SPY","SPY 12/6/2023 Call $460.00","BTO","1","$0.06","($6.03)"
"12/6/2023","12/6/2023","12/7/2023","SPY","SPY 12/6/2023 Call $462.00","BTO","1","$0.02","($2.03)"
"12/6/2023","12/6/2023","12/7/2023","SPY","SPY 12/6/2023 Call $462.00","BTO","1","$0.02","($2.03)"
"12/6/2023","12/6/2023","12/7/2023","SPY","SPY 12/6/2023 Call $462.00","BTO","1","$0.02","($2.03)"
"12/5/2023","12/5/2023","12/6/2023","SPY","SPY 1/5/2024 Put $435.00","BTO","1","$1.27","($127.03)"
"11/30/2023","11/30/2023","12/1/2023","SPY","SPY 12/29/2023 Call $470.00","STC","1","$0.69","$68.95"
"11/27/2023","11/27/2023","11/28/2023","SPY","SPY 12/22/2023 Put $435.00","BTO","1","$1.11","($111.03)"
"11/24/2023","11/24/2023","11/27/2023","SPY","Option Expiration for SPY 11/24/2023 Put $419.00","OEXP","1S","",""
"11/24/2023","11/24/2023","11/27/2023","SPY","Option Expiration for SPY 11/24/2023 Put $425.00","OEXP","1S","",""
"11/17/2023","11/17/2023","11/20/2023","SPY","Option Expiration for SPY 11/17/2023 Put $425.00","OEXP","1S","",""
"11/10/2023","11/10/2023","11/13/2023","SPY","SPY 11/24/2023 Put $425.00","BTO","1","$0.73","($73.03)"
"11/9/2023","11/9/2023","11/10/2023","SPY","SPY 11/24/2023 Put $419.00","BTO","1","$0.63","($63.03)"
"11/8/2023","11/8/2023","11/9/2023","SPY","SPY 11/17/2023 Put $425.00","BTO","1","$0.59","($59.03)"
"11/2/2023","11/2/2023","11/3/2023","SPY","SPY 11/24/2023 Call $435.00","STC","1","$3.38","$337.95"
"10/25/2023","10/25/2023","10/26/2023","SPY","SPY 10/25/2023 Put $417.00","STC","1","$0.80","$79.95"
"10/25/2023","10/25/2023","10/26/2023","SPY","SPY 10/25/2023 Put $416.00","STC","1","$0.32","$31.95"
"10/25/2023","10/25/2023","10/26/2023","SPY","SPY 10/25/2023 Put $417.00","BTO","1","$0.17","($17.03)"
"10/25/2023","10/25/2023","10/26/2023","SPY","SPY 10/25/2023 Put $416.00","BTO","1","$0.26","($26.03)"
"10/24/2023","10/24/2023","10/25/2023","SPY","SPY 11/24/2023 Call $435.00","BTO","1","$3.81","($381.03)"
"10/23/2023","10/23/2023","10/24/2023","SPY","Option Expiration for SPY 10/23/2023 Put $415.00","OEXP","2S","",""
"10/23/2023","10/23/2023","10/24/2023","SPY","SPY 10/23/2023 Put $415.00","BTO","1","$0.02","($2.00)"
"10/23/2023","10/23/2023","10/24/2023","SPY","SPY 10/23/2023 Put $415.00","BTO","1","$0.16","($16.00)"
"10/18/2023","10/18/2023","10/19/2023","SPY","SPY 10/18/2023 Put $430.00","STC","1","$0.30","$29.98"
"10/18/2023","10/18/2023","10/19/2023","SPY","SPY 10/18/2023 Put $430.00","BTO","1","$0.22","($22.00)"
"10/17/2023","10/17/2023","10/18/2023","SPY","SPY 10/17/2023 Put $433.00","STC","1","$0.12","$11.98"
"10/17/2023","10/17/2023","10/18/2023","SPY","SPY 10/17/2023 Put $433.00","BTO","1","$0.10","($10.00)"
"10/16/2023","10/16/2023","10/17/2023","SPY","SPY 12/29/2023 Call $470.00","BTO","1","$1.26","($126.00)"
"10/13/2023","10/13/2023","10/16/2023","SPY","Option Expiration for SPY 10/13/2023 Call $436.00","OEXP","1S","",""
"10/13/2023","10/13/2023","10/16/2023","SPY","SPY 10/13/2023 Put $428.00","STC","1","$0.02","$1.98"
"10/13/2023","10/13/2023","10/16/2023","SPY","SPY 10/13/2023 Put $428.00","BTO","1","$0.14","($14.00)"
"10/13/2023","10/13/2023","10/16/2023","SPY","SPY 10/13/2023 Call $436.00","BTO","1","$0.08","($8.00)"
"10/12/2023","10/12/2023","10/13/2023","SPY","SPY 10/12/2023 Put $432.00","STC","1","$1.00","$99.98"
"10/12/2023","10/12/2023","10/13/2023","SPY","SPY 10/12/2023 Put $432.00","BTO","1","$0.14","($14.00)"
